Unnamed: 0,alpha
7702,0.0
16291,0.0
8524,0.0
10344,0.0
11152,1.0
12141,0.0
7526,0.0
13923,0.0
1756,1.0
15188,0.0
15886,0.0
1186,0.0
1208,0.0
4551,0.0
12263,1.0
5097,1.0
8854,0.0
920,0.0
7300,0.0
13629,0.0
15694,0.0
7166,0.0
12045,0.0
14944,0.0
15634,0.0
8432,0.0
7861,0.0
16002,0.0
3030,0.0
6243,0.0
15893,0.0
9522,0.0
3603,0.0
1538,0.0
16733,0.0
13919,0.0
16095,0.0
16446,0.0
3936,0.0
15010,0.0
10072,0.0
8859,0.0
3018,0.0
13673,0.0
9379,0.0
10388,0.0
6184,0.0
2585,0.0
4486,0.0
6393,0.0
13573,1.0
6484,0.0
14185,0.0
13993,1.0
4625,1.0
12680,0.0
16674,0.0
16191,1.0
911,0.0
3650,0.0
3764,0.0
5889,0.0
16678,0.0
3084,0.0
10321,-1.0
14429,0.0
17491,0.0
5932,0.0
16720,0.0
12241,0.0
12296,0.0
6829,0.0
8772,0.0
16574,0.0
15994,0.0
4975,0.0
7511,0.0
8350,0.0
5380,1.0
1766,1.0
7838,0.0
4669,0.0
9535,0.0
7589,0.0
4413,0.0
1245,0.0
9819,0.0
2243,0.0
454,0.0
3850,0.0
16940,0.0
13359,0.0
17557,0.0
9723,0.0
8396,0.0
17053,0.0
13270,0.0
16600,0.0
4835,0.0
4080,0.0
12315,0.0
9538,0.0
13430,0.0
3408,0.0
2064,0.0
8872,0.0
9627,0.0
1526,0.0
4421,0.0
937,0.0
5663,0.0
16034,0.0
14778,1.0
2967,0.0
2672,0.0
15322,0.0
3035,0.0
207,0.0
17178,0.0
1892,0.0
4427,0.0
1739,0.0
9061,0.0
917,0.0
1476,0.0
2800,0.0
16677,0.0
5755,0.0
4151,0.0
10020,0.0
4464,0.0
9894,0.0
1942,0.0
17262,0.0
14165,0.0
5886,0.0
13376,1.0
10816,0.0
14892,0.0
7888,0.0
5080,0.0
14795,0.0
3372,0.0
12038,0.0
10341,0.0
10514,0.0
4720,1.0
3735,0.0
8537,0.0
599,0.0
7267,0.0
219,0.0
1072,0.0
1827,0.0
1726,0.0
8335,0.0
15022,0.0
543,0.0
1965,0.0
11133,0.0
6413,0.0
5291,0.0
3097,0.0
4939,1.0
7420,0.0
17435,0.0
15220,0.0
2382,0.0
16500,0.0
571,0.0
8889,0.0
4756,0.0
15024,1.0
13634,0.0
8261,0.0
13803,0.0
16200,0.0
13697,0.0
9949,0.0
4961,0.0
5746,0.0
11966,0.0
3464,0.0
12319,0.0
13645,0.0
5940,0.0
11570,0.0
15242,0.0
339,1.0
9613,0.0
16207,0.0
9088,0.0
6518,0.0
12948,0.0
13825,0.0
7958,0.0
13105,1.0
2078,0.0
8958,0.0
8194,0.0
15785,0.0
17405,0.0
760,0.0
14998,0.0
16000,0.0
10584,0.0
542,1.0
14504,0.0
11666,0.0
2437,0.0
10147,0.0
7294,0.0
13891,0.0
13171,0.0
3810,0.0
5925,0.0
1092,0.0
929,0.0
5280,0.0
7182,1.0
15315,0.0
7824,0.0
3726,0.0
6147,0.0
6210,0.0
7845,0.0
3377,0.0
5055,0.0
17088,0.0
10728,0.0
15128,1.0
19,0.0
9847,0.0
7984,0.0
2938,0.0
16620,0.0
12813,0.0
5985,0.0
17539,0.0
11952,0.0
5880,0.0
8529,0.0
11363,0.0
14438,0.0
11074,0.0
4978,0.0
3423,0.0
5092,0.0
13265,0.0
17411,0.0
14139,0.0
17413,0.0
4235,0.0
480,0.0
1368,0.0
5840,0.0
14376,0.0
11445,0.0
10535,0.0
1689,0.0
16437,0.0
14685,0.0
9968,0.0
11161,0.0
6349,0.0
16742,0.0
3456,0.0
8708,0.0
11083,0.0
7129,0.0
11486,0.0
11436,0.0
7740,1.0
13640,0.0
13745,0.0
7476,0.0
2703,1.0
4029,0.0
3452,0.0
6445,0.0
11072,0.0
2327,0.0
12387,0.0
