Unnamed: 0,coef
8135,0
11302,1
14380,0
10605,0
15919,0
15817,1
3548,0
13685,1
13213,0
16544,1
2387,0
9449,1
4745,0
14059,0
1416,0
5643,0
4510,0
15516,0
7401,0
8463,0
2321,0
6356,0
6903,0
4873,0
14318,1
11914,0
9872,0
10491,0
13612,0
16931,0
16748,1
12712,0
11885,1
13550,0
15647,0
12571,0
12540,0
5136,0
14480,1
13155,1
7193,0
13858,0
15450,1
1895,0
3262,0
14170,0
5514,0
312,0
15243,0
15005,1
4770,0
17043,0
8569,0
11222,0
304,1
406,1
10334,1
5251,0
8219,0
4483,-1
5125,0
858,0
5195,0
14454,0
12379,0
12578,1
16204,1
3445,0
13021,1
245,0
15655,1
13853,0
11266,1
15948,0
16025,0
6465,0
4461,0
7799,0
17442,1
13032,0
11234,0
7801,0
6656,0
11461,0
4131,0
14191,1
16065,-1
1047,0
617,0
8264,1
15770,1
6424,0
10658,0
8030,0
11537,0
176,0
17027,0
15078,0
5414,-1
4803,0
16835,0
4702,0
10877,0
13851,0
1489,0
4119,0
8825,0
16703,0
6039,1
10985,0
645,0
9304,0
3242,0
3476,0
8498,0
13503,0
6845,0
4072,0
7832,-1
5294,0
908,1
353,0
8438,1
8910,-1
6589,0
8332,-1
2913,0
17039,0
3957,-1
10104,0
4473,0
422,0
10828,1
3829,0
6746,0
10422,0
848,0
12709,1
12309,0
3997,0
4562,0
6667,1
12950,0
8440,0
4601,0
9549,-1
3008,-1
6996,-1
1490,0
2498,0
17396,1
9684,1
8036,0
5084,0
15509,0
8886,0
17055,0
1682,0
12004,0
14701,0
12952,-1
7575,0
11533,0
9170,0
14060,1
6281,0
8181,0
12006,0
651,0
12945,0
14290,0
1171,0
9891,0
12623,0
4950,1
8464,0
4900,0
985,0
3621,1
7706,0
14372,0
2721,0
14256,-1
17423,0
737,1
2912,0
16932,1
2398,0
13341,0
4951,0
5044,0
8311,0
17261,0
10972,0
13551,0
5376,0
3215,0
4376,0
15230,0
16572,0
6234,0
5568,0
2671,0
8111,0
13380,0
11387,-1
3201,-1
5301,0
7138,1
4664,0
12558,0
8848,0
13501,0
13658,0
10287,0
10386,0
5779,-1
11928,0
7441,0
16611,0
16746,0
7588,0
2945,0
4919,1
12961,1
520,1
4649,0
16039,0
6557,0
