,alpha
7843,-1.0
13806,1.0
9180,1.0
13451,1.0
2188,0.0
3622,1.0
10322,-1.0
8740,1.0
6950,-1.0
6341,-1.0
3904,0.0
12639,0.0
12076,1.0
15251,-1.0
879,0.0
2645,1.0
4827,1.0
8063,0.0
6528,0.0
909,0.0
11005,0.0
8185,0.0
9912,-1.0
9453,1.0
7382,0.0
630,0.0
8237,0.0
3182,-1.0
17298,0.0
5253,-1.0
10871,0.0
6261,1.0
6358,0.0
10060,0.0
2504,-1.0
11708,1.0
12460,0.0
5278,1.0
6072,0.0
6822,0.0
5830,0.0
12599,1.0
2318,-1.0
9731,1.0
16878,1.0
594,1.0
6503,-1.0
15160,-1.0
5258,0.0
5638,0.0
10645,0.0
1410,0.0
8647,1.0
13457,1.0
13440,1.0
15591,0.0
9975,0.0
12608,-1.0
14058,-1.0
9305,0.0
3235,0.0
11464,-1.0
10507,1.0
8882,1.0
9573,0.0
7217,1.0
14751,-1.0
1655,1.0
14408,0.0
15343,1.0
7840,-1.0
7515,1.0
2169,0.0
2120,-1.0
2459,-1.0
9617,0.0
15501,1.0
5317,0.0
11996,-1.0
9852,0.0
14893,1.0
13497,1.0
5137,0.0
14557,1.0
14502,-1.0
9611,1.0
3657,1.0
4352,1.0
10105,1.0
809,1.0
14045,0.0
12333,-1.0
1586,-1.0
8104,0.0
13028,0.0
16499,0.0
5310,1.0
3074,-1.0
16282,0.0
2257,1.0
15478,0.0
15676,-1.0
2394,1.0
14073,1.0
9845,0.0
14970,0.0
12995,0.0
16971,0.0
17257,1.0
8223,1.0
15073,1.0
3645,0.0
12151,1.0
13166,1.0
133,1.0
981,-1.0
7682,-1.0
16946,0.0
8731,1.0
17501,1.0
12222,-1.0
128,-1.0
9137,0.0
8344,1.0
893,1.0
2626,1.0
13163,0.0
16195,-1.0
4940,1.0
6710,1.0
465,-1.0
14857,-1.0
7581,0.0
9969,-1.0
12158,-1.0
7535,1.0
15997,1.0
12604,0.0
8135,1.0
11302,1.0
14380,-1.0
10605,1.0
15919,-1.0
15817,1.0
3548,-1.0
13685,-1.0
13213,1.0
16544,1.0
2387,0.0
9449,0.0
4745,1.0
14059,-1.0
1416,-1.0
5643,0.0
4510,1.0
15516,1.0
7401,1.0
8463,0.0
2321,1.0
6356,-1.0
6903,0.0
4873,-1.0
14318,0.0
11914,1.0
9872,1.0
10491,0.0
13612,-1.0
16931,1.0
16748,-1.0
12712,-1.0
11885,0.0
13550,0.0
15647,-1.0
12571,-1.0
12540,-1.0
5136,0.0
14480,0.0
13155,1.0
7193,1.0
13858,1.0
15450,0.0
1895,1.0
3262,1.0
14170,-1.0
5514,-1.0
312,1.0
15243,1.0
15005,0.0
4770,0.0
17043,-1.0
8569,1.0
11222,-1.0
304,0.0
406,1.0
10334,0.0
5251,1.0
8219,1.0
4483,1.0
5125,1.0
858,1.0
5195,1.0
14454,1.0
12379,1.0
12578,1.0
16204,1.0
3445,-1.0
13021,1.0
245,1.0
15655,0.0
13853,0.0
11266,0.0
15948,1.0
16025,1.0
6465,0.0
4461,0.0
7799,0.0
17442,0.0
13032,0.0
11234,-1.0
