,alpha
1406,0
6543,1
16673,-1
5754,0
5371,0
3276,1
3653,-1
185,1
4296,0
2837,1
5859,0
11354,-1
7385,-1
16067,0
1408,0
2463,0
15891,-1
6221,0
12206,-1
3763,0
5778,-1
16456,-1
6919,0
5115,0
17019,1
3541,0
4050,0
2694,1
13468,0
888,-1
13867,1
8514,-1
15472,-1
4077,1
4640,1
5611,-1
4880,-1
12923,1
4463,1
15222,1
1411,1
11580,1
16124,0
11774,0
1556,1
14549,1
9442,1
17001,1
6189,1
1907,-1
15082,0
960,1
14374,1
12448,0
4709,0
7045,-1
17307,1
10384,1
11179,0
7886,0
10486,1
8659,0
8329,0
2832,1
2194,1
9451,0
4964,0
11513,0
7209,0
8713,0
4110,0
13022,-1
6630,1
13715,1
248,1
16341,0
4717,1
7288,-1
3800,0
4432,0
4085,0
7798,0
13303,1
13699,1
2137,1
8143,1
16445,0
12901,1
5791,1
1102,0
11660,0
2502,1
6841,-1
1533,1
2234,1
5201,0
3249,1
2030,1
3869,0
15137,0
14757,-1
844,0
7286,-1
5439,-1
10808,0
11145,1
4066,0
15725,1
2004,0
10400,1
10561,0
9655,0
13298,0
11189,1
13474,-1
14518,-1
8026,0
2799,1
16758,-1
14506,1
2555,1
14636,-1
9531,0
12748,-1
13373,1
990,-1
9177,0
12248,0
14693,1
6466,0
15177,1
5145,1
8205,0
11804,-1
2963,0
4459,0
5203,-1
507,0
15429,0
1620,1
15488,1
6122,0
8619,-1
16506,0
4496,1
5776,0
1916,0
10232,1
4341,1
14342,1
3736,0
9661,-1
14932,1
16012,1
871,-1
16890,1
6387,1
7744,1
4327,1
7525,1
1787,0
7689,-1
10996,-1
11943,0
7836,1
15704,1
5714,-1
9323,0
14250,0
6721,0
5515,1
7484,1
11623,0
11080,0
9741,-1
10191,-1
2818,-1
5089,1
6430,0
14470,1
13308,0
7339,0
9289,-1
4931,-1
12855,0
9292,-1
4697,-1
11579,1
10733,1
53,1
1721,0
16926,1
1603,1
6962,0
1195,0
10062,0
14398,0
3060,0
8365,-1
5561,1
5248,1
1668,0
13102,1
12896,0
9720,-1
4332,1
16937,0
2292,1
16586,0
14856,1
10374,1
4104,1
13,0
12934,1
15422,-1
17231,-1
8295,0
15155,-1
5105,0
7238,0
8401,-1
12647,1
15947,-1
15897,0
13224,0
8468,1
1390,-1
3055,0
12551,1
4781,1
5052,0
7564,0
11692,1
7060,0
4583,0
11624,0
1103,0
947,1
288,0
1799,1
1216,0
1875,1
10416,0
15855,1
1918,1
2195,-1
13935,0
9171,1
16391,0
13835,0
11894,0
9578,0
16504,0
12918,0
15637,0
334,1
16631,1
16063,0
16219,0
270,0
10214,1
15117,-1
2157,0
11115,0
12927,1
14761,1
14726,0
6646,0
8822,0
7587,0
8735,1
9835,1
3057,0
1437,1
5651,0
10079,0
4150,0
2468,1
5836,-1
1619,0
9658,0
12981,0
17165,1
3576,1
10244,0
12562,-1
8503,0
5144,0
914,1
8947,0
12366,1
7664,0
8847,-1
10752,1
9163,0
12677,1
6435,0
4815,1
14153,0
12276,0
1260,0
1628,1
17170,1
11512,-1
4659,0
10912,1
2029,1
12727,1
12681,1
2384,0
12043,0
16566,1
16697,-1
11937,1
16598,1
1449,0
4299,-1
15915,-1
8220,0
726,1
10272,0
10004,0
1397,0
10555,1
16152,-1
2991,-1
4704,1
12774,1
12147,-1
10217,0
3724,1
13815,1
3704,1
10842,0
39,1
16827,1
10534,1
6789,0
3429,0
2560,0
8785,0
16112,1
11900,1
13169,0
9114,0
10326,-1
5314,0
14779,0
5233,1
323,0
15319,0
3006,1
5029,0
11182,0
17274,1
8243,1
15326,1
8348,0
16459,1
12857,1
9448,-1
6603,-1
262,1
14750,1
13031,1
5299,0
3483,0
5870,1
3329,-1
8953,1
15627,1
15545,0
4323,1
5045,0
2470,1
2481,1
2569,1
11573,-1
5525,0
14211,0
632,0
13839,-1
12502,0
479,-1
4682,0
4941,0
10526,1
1819,0
16627,0
2887,-1
7396,0
48,1
4416,1
3819,1
10571,1
4966,0
4339,1
6334,0
15147,0
14677,0
206,-1
7966,0
16546,0
449,1
14765,0
1812,1
10995,1
8206,-1
8585,0
14754,1
1365,1
13291,1
4103,-1
17321,-1
11156,0
801,0
13152,-1
10724,0
11695,1
7519,1
3118,1
14587,-1
9343,0
2240,1
8884,-1
7797,1
4448,1
846,0
17063,1
9269,0
3891,0
3075,-1
8545,-1
2330,0
14609,0
15541,1
11181,1
15271,1
775,0
1804,1
588,1
13131,1
3044,0
6063,-1
24,-1
1414,0
6308,0
14568,1
5690,0
10900,1
7772,-1
438,0
14400,0
5047,1
6151,-1
17482,1
4942,0
14844,-1
9119,0
13222,-1
524,1
15703,-1
12031,1
16873,1
6792,0
10231,-1
16577,1
8692,1
975,-1
16613,0
2076,0
8226,-1
8282,0
3691,1
3247,0
2998,1
17140,1
14855,-1
8892,1
13342,0
11293,1
3834,1
3923,-1
6279,0
7369,1
8307,1
16803,1
15083,1
4847,0
6688,-1
4163,0
895,0
11409,1
604,1
930,0
12780,-1
12393,0
2104,0
16036,1
11321,0
555,-1
3693,0
6552,-1
3016,-1
4047,0
7094,0
2177,-1
11020,1
15605,0
8637,0
7815,1
11795,0
40,0
15428,0
13893,1
10592,1
15756,0
4038,0
12039,1
1314,1
4488,0
5341,-1
1428,0
13617,1
13282,0
11448,0
5831,1
11068,1
13441,0
13319,0
9366,-1
15548,1
13069,1
15126,0
4273,1
10731,1
17483,0
2391,0
8654,-1
12553,1
6248,-1
14969,-1
3636,0
7759,0
15601,0
3418,-1
4628,1
10047,-1
6048,0
12250,1
16420,-1
16768,0
1583,1
14310,1
2472,-1
2546,-1
9128,1
4417,1
4200,0
15043,0
10068,0
12462,-1
16993,-1
13606,1
10732,-1
16559,1
9675,1
11526,0
1665,0
9881,1
12262,1
16676,0
16396,0
5416,0
10162,0
8734,0
7914,0
12631,1
265,1
7470,0
13971,0
16530,1
17148,0
1920,0
10653,0
11746,-1
7269,1
12547,1
15173,-1
13023,1
14371,1
15926,1
8122,-1
742,0
7796,0
11196,1
12441,-1
12786,1
10023,0
17186,0
5980,-1
10751,-1
3632,0
3108,0
10248,0
5665,-1
14748,0
15494,0
16599,0
8461,-1
7646,1
7743,0
3619,-1
12495,0
8031,1
179,0
8373,1
12861,1
13962,0
6970,1
10018,0
2005,0
11124,1
10482,-1
4774,-1
225,-1
11089,-1
16738,-1
10407,1
7611,0
5458,-1
14174,0
1401,-1
5874,0
17104,0
4821,0
7009,0
3402,-1
9954,0
16568,0
12910,-1
6182,-1
5640,1
10795,1
16929,0
13013,0
5807,1
10266,0
2153,1
3593,-1
7809,0
8534,1
5934,1
607,1
13705,1
10219,1
16711,1
14594,0
10277,1
13513,1
7597,-1
15145,0
2476,0
15176,1
14615,1
4255,1
17574,0
11850,-1
4052,0
5282,0
10126,-1
12494,0
11593,1
4061,0
3019,1
5293,-1
10157,1
14724,1
1409,0
1652,1
15692,-1
7106,1
15170,1
3234,0
7044,1
11960,-1
5950,0
711,1
1643,1
2441,0
1508,1
10826,1
2208,1
6236,1
15432,-1
5196,-1
17469,-1
11004,1
9752,-1
15001,0
14803,1
462,1
1463,-1
1364,1
3323,1
3668,0
16633,-1
13281,-1
7022,1
12782,1
8855,0
8473,0
1151,-1
17233,1
14918,1
269,0
9888,-1
12539,1
13797,0
14205,1
5242,0
14271,1
13039,1
12804,-1
10117,0
17219,1
15440,1
10501,0
13593,0
4819,1
15643,1
12902,0
13636,0
6206,0
17214,0
16413,0
15596,0
10113,-1
1484,1
4653,-1
1351,0
7775,0
10285,-1
7804,0
896,1
1759,1
6744,0
12236,1
16747,0
11125,0
4367,0
9432,0
5126,1
14987,0
2456,0
420,-1
16606,1
1900,-1
2542,1
7872,-1
36,1
6411,0
14111,0
13830,0
4209,-1
1033,1
9231,0
8268,0
16685,-1
1013,1
11174,-1
11571,1
10999,0
10951,1
15342,0
10280,1
15720,0
2824,-1
834,0
16585,1
11194,1
14151,0
6208,-1
14390,-1
6463,-1
7881,0
12060,-1
11141,0
14117,1
9417,0
12394,0
9012,0
13349,0
428,0
9736,1
4246,0
14146,-1
2955,0
8249,0
3776,-1
1127,1
3556,0
15123,0
6928,0
10896,1
14144,1
2764,1
1805,0
10525,1
4426,1
1405,-1
7631,-1
3949,1
15097,1
7227,0
16409,1
2444,0
13811,0
1239,-1
6165,1
4083,1
890,1
14299,-1
11127,0
3132,0
8539,0
14949,0
15923,1
10578,-1
10459,0
14227,1
4076,0
7030,-1
14147,1
495,1
3803,0
2151,-1
10109,0
10902,1
12895,1
7279,0
5732,0
4335,-1
4073,0
932,-1
15307,1
10864,0
3411,1
5212,0
8376,-1
15004,1
