,alpha
9453,-1
7382,0
630,0
8237,0
3182,0
17298,0
5253,0
10871,0
6261,-1
6358,0
10060,0
2504,-1
11708,1
12460,0
5278,1
6072,0
6822,0
5830,1
12599,0
2318,-1
9731,0
16878,-1
594,-1
6503,-1
15160,-1
5258,0
5638,0
10645,-1
1410,-1
8647,0
13457,-1
13440,-1
15591,1
9975,0
12608,-1
14058,-1
9305,0
3235,0
11464,-1
10507,1
8882,-1
9573,0
7217,0
14751,-1
1655,0
14408,0
15343,1
7840,-1
7515,-1
2169,1
2120,-1
2459,0
9617,-1
15501,1
5317,0
11996,1
9852,0
14893,-1
13497,0
5137,-1
14557,0
14502,-1
9611,-1
3657,1
4352,0
10105,0
809,1
14045,0
12333,-1
1586,0
8104,0
13028,0
16499,0
5310,-1
3074,-1
16282,0
2257,0
15478,0
15676,1
2394,0
14073,0
9845,-1
14970,0
12995,-1
16971,0
17257,1
8223,0
15073,-1
3645,1
12151,0
13166,-1
133,-1
981,1
7682,-1
16946,1
8731,-1
17501,0
12222,-1
128,-1
9137,0
8344,0
893,1
2626,-1
13163,0
16195,0
4940,1
6710,1
465,-1
14857,1
7581,0
9969,-1
12158,-1
7535,-1
15997,1
12604,0
8135,1
11302,1
14380,-1
10605,-1
15919,-1
15817,0
3548,-1
13685,-1
13213,0
16544,-1
2387,-1
9449,1
4745,-1
14059,-1
1416,-1
5643,0
4510,1
15516,-1
7401,0
8463,1
2321,0
6356,-1
6903,-1
4873,1
14318,1
11914,0
9872,-1
10491,0
13612,-1
16931,1
16748,-1
12712,-1
11885,1
13550,1
15647,-1
12571,0
12540,-1
5136,0
14480,-1
13155,-1
7193,-1
13858,0
15450,0
1895,1
3262,0
14170,-1
5514,-1
312,-1
15243,0
15005,1
4770,0
17043,-1
8569,-1
11222,-1
304,1
406,0
10334,0
5251,-1
8219,-1
4483,-1
5125,0
858,-1
5195,1
14454,0
12379,-1
12578,0
16204,-1
3445,-1
13021,1
245,-1
15655,1
13853,0
11266,1
15948,0
16025,0
6465,0
4461,1
7799,-1
17442,1
13032,0
11234,-1
7801,0
6656,0
11461,1
4131,0
14191,1
16065,1
1047,-1
617,0
8264,1
15770,-1
6424,0
10658,-1
8030,-1
11537,0
176,-1
17027,-1
15078,0
5414,-1
4803,-1
16835,-1
4702,0
10877,1
13851,0
1489,0
4119,0
8825,0
16703,1
6039,0
10985,-1
645,1
9304,-1
3242,0
3476,1
8498,-1
13503,-1
6845,0
4072,0
7832,-1
5294,-1
908,1
353,-1
8438,0
8910,1
6589,-1
8332,-1
2913,0
17039,-1
3957,-1
10104,1
4473,0
422,0
10828,1
3829,-1
6746,-1
10422,-1
848,-1
12709,0
12309,0
3997,-1
4562,-1
6667,-1
12950,-1
8440,1
4601,-1
9549,-1
3008,1
6996,1
1490,1
2498,-1
17396,-1
9684,-1
8036,0
5084,0
15509,-1
8886,0
17055,0
1682,-1
12004,0
14701,-1
12952,0
7575,-1
11533,-1
9170,-1
14060,0
6281,0
8181,-1
12006,1
651,0
12945,0
14290,-1
1171,0
9891,1
12623,0
4950,-1
8464,-1
4900,1
985,-1
3621,1
7706,-1
14372,0
2721,-1
14256,0
17423,0
737,-1
2912,1
16932,-1
2398,-1
13341,-1
4951,1
5044,-1
8311,-1
17261,0
10972,1
13551,-1
5376,0
3215,-1
4376,-1
15230,1
16572,-1
6234,0
5568,1
2671,0
8111,0
13380,1
11387,0
3201,0
5301,0
7138,0
4664,0
12558,-1
8848,0
13501,0
13658,1
10287,-1
10386,-1
5779,-1
11928,0
7441,-1
16611,1
16746,0
7588,0
2945,0
4919,0
12961,1
520,1
4649,0
16039,0
6557,1
9761,-1
550,-1
9636,-1
1871,0
2051,-1
16331,0
12219,1
10794,0
16169,-1
11209,0
4690,1
15031,-1
10643,-1
14706,0
14738,-1
9576,0
17462,-1
4519,0
3689,-1
14704,-1
10588,-1
5616,0
3274,-1
13400,0
7816,0
12203,0
1880,1
3965,1
10939,0
11082,1
1782,0
8862,0
15059,0
13174,-1
9672,0
14819,0
10390,0
2692,0
4658,1
4684,1
16022,1
17127,1
4350,-1
10159,-1
13833,1
9659,1
13466,-1
95,1
7509,0
5295,-1
8398,0
10799,1
897,-1
14039,0
14468,-1
7480,-1
8919,-1
6811,0
4245,-1
12600,-1
6567,-1
142,-1
7961,0
7218,0
1717,0
15812,0
16127,-1
526,0
640,0
399,1
14029,1
8436,0
17264,-1
5615,0
8202,-1
1030,-1
3378,1
12436,-1
7147,1
6624,1
17562,1
16453,1
4277,-1
7083,-1
8200,-1
4266,0
984,1
4410,1
14950,1
15296,-1
13365,0
12504,-1
11552,0
12947,0
16808,-1
13969,1
10373,-1
10423,-1
11811,-1
13377,-1
13416,-1
14082,0
11681,-1
6585,0
11669,0
