,alpha
8886,1
17055,-1
1682,-1
12004,0
14701,-1
12952,1
7575,-1
11533,-1
9170,0
14060,1
6281,-1
8181,-1
12006,1
651,-1
12945,0
14290,-1
1171,1
9891,0
12623,0
4950,-1
8464,-1
4900,1
985,0
3621,1
7706,0
14372,1
2721,-1
14256,0
17423,-1
737,0
2912,1
16932,-1
2398,1
13341,-1
4951,1
5044,0
8311,0
17261,0
10972,-1
13551,1
5376,0
3215,0
4376,-1
15230,1
16572,1
6234,0
5568,1
2671,-1
8111,0
13380,-1
11387,0
3201,0
5301,-1
7138,0
4664,-1
12558,-1
8848,0
13501,0
13658,1
10287,0
10386,1
5779,1
11928,1
7441,1
16611,-1
16746,-1
7588,-1
2945,1
4919,0
12961,1
520,1
4649,0
16039,0
6557,1
9761,1
550,-1
9636,1
1871,1
2051,1
16331,1
12219,-1
10794,0
16169,1
11209,0
4690,1
15031,-1
10643,1
14706,-1
14738,-1
9576,-1
17462,-1
4519,1
3689,0
14704,-1
10588,1
5616,-1
3274,-1
13400,1
7816,0
12203,0
1880,0
3965,0
10939,-1
11082,1
1782,1
8862,-1
15059,0
13174,-1
9672,0
14819,1
10390,0
2692,0
4658,1
4684,1
16022,1
17127,0
4350,-1
10159,1
13833,1
9659,0
13466,1
95,1
7509,0
5295,-1
8398,-1
10799,-1
897,-1
14039,0
14468,1
7480,-1
8919,-1
6811,1
4245,-1
12600,-1
6567,1
142,-1
7961,1
7218,-1
1717,0
15812,1
16127,0
526,-1
640,0
399,1
14029,1
8436,0
17264,-1
5615,0
8202,-1
1030,0
3378,1
12436,-1
7147,1
6624,1
17562,-1
16453,-1
4277,1
7083,0
8200,0
4266,0
984,1
4410,1
14950,0
15296,1
13365,0
12504,0
11552,0
12947,0
16808,1
13969,1
10373,-1
10423,-1
11811,-1
13377,-1
13416,-1
14082,0
11681,1
6585,0
11669,1
14664,1
2190,0
4275,1
1406,0
6543,1
16673,1
5754,0
5371,0
3276,1
3653,0
185,-1
4296,0
2837,-1
5859,1
11354,1
7385,0
16067,-1
1408,1
2463,0
15891,1
6221,0
12206,-1
3763,0
5778,1
16456,-1
6919,-1
5115,0
17019,1
3541,-1
4050,0
2694,-1
13468,1
888,1
13867,-1
8514,-1
15472,1
4077,0
4640,1
5611,-1
4880,0
12923,-1
4463,1
15222,1
1411,-1
11580,1
16124,-1
11774,1
1556,-1
14549,-1
9442,-1
17001,0
6189,-1
1907,0
15082,-1
960,-1
14374,-1
12448,-1
4709,-1
7045,-1
17307,-1
10384,0
11179,0
7886,0
10486,1
8659,-1
8329,-1
2832,1
2194,0
9451,-1
4964,0
11513,0
7209,-1
8713,1
4110,1
13022,1
6630,-1
13715,1
248,1
16341,0
4717,-1
7288,1
3800,0
4432,1
4085,0
7798,0
13303,1
13699,-1
2137,0
8143,1
16445,0
12901,-1
5791,-1
1102,0
11660,0
2502,0
6841,-1
1533,0
2234,1
5201,1
3249,-1
2030,-1
3869,0
15137,0
14757,-1
844,0
7286,1
5439,-1
10808,1
11145,1
4066,0
15725,-1
2004,1
10400,1
10561,0
9655,1
13298,1
11189,-1
13474,1
14518,0
8026,0
2799,-1
16758,1
14506,1
2555,1
14636,-1
9531,0
12748,1
13373,-1
990,0
9177,-1
12248,-1
14693,1
6466,1
15177,-1
5145,0
8205,0
11804,-1
2963,0
4459,-1
5203,-1
507,-1
15429,0
1620,1
15488,1
6122,-1
8619,0
16506,-1
4496,1
5776,-1
1916,1
10232,-1
4341,-1
14342,-1
3736,-1
9661,0
14932,-1
16012,-1
871,1
16890,0
6387,-1
7744,-1
4327,-1
7525,-1
1787,1
7689,0
10996,-1
11943,1
7836,1
15704,1
5714,1
9323,0
14250,0
6721,1
5515,1
7484,-1
11623,1
11080,0
9741,1
10191,0
2818,-1
5089,1
6430,-1
14470,1
13308,0
7339,0
9289,-1
4931,1
12855,0
9292,0
4697,-1
11579,-1
10733,0
53,1
1721,-1
16926,-1
1603,0
6962,-1
1195,0
10062,-1
14398,1
3060,-1
8365,0
5561,-1
5248,1
1668,0
13102,-1
12896,0
9720,1
4332,-1
16937,0
2292,-1
16586,1
14856,0
10374,-1
4104,0
13,1
12934,1
15422,-1
17231,0
8295,0
15155,-1
5105,0
7238,1
8401,0
12647,1
15947,0
15897,-1
13224,1
8468,0
1390,1
3055,-1
12551,-1
4781,1
5052,0
7564,1
11692,-1
7060,1
4583,1
11624,0
1103,0
947,-1
288,0
1799,-1
1216,-1
1875,-1
10416,0
15855,1
1918,1
2195,1
13935,0
9171,-1
16391,0
13835,1
11894,0
9578,1
16504,0
12918,0
15637,1
334,0
16631,-1
16063,0
16219,0
270,0
10214,-1
15117,-1
2157,-1
11115,0
12927,-1
14761,-1
14726,1
6646,0
8822,0
7587,-1
8735,1
9835,-1
3057,-1
1437,-1
5651,-1
10079,-1
4150,-1
2468,-1
5836,-1
1619,0
9658,0
12981,0
17165,-1
3576,1
10244,1
12562,0
8503,-1
5144,1
914,-1
8947,1
12366,0
7664,0
8847,-1
10752,-1
9163,0
12677,0
6435,1
4815,1
14153,0
12276,-1
1260,1
1628,0
17170,1
11512,1
4659,0
10912,-1
2029,1
12727,0
12681,0
2384,1
12043,0
16566,-1
16697,1
11937,1
16598,1
1449,0
4299,-1
15915,0
8220,0
726,-1
10272,0
10004,-1
1397,1
10555,1
16152,-1
2991,0
4704,1
12774,1
12147,-1
10217,0
3724,1
13815,0
3704,-1
10842,0
39,1
16827,-1
10534,-1
6789,1
3429,0
2560,0
8785,0
16112,0
11900,-1
13169,1
9114,0
10326,0
5314,0
14779,0
5233,1
323,1
15319,0
3006,1
5029,1
11182,1
17274,-1
8243,-1
15326,-1
8348,0
16459,-1
12857,-1
9448,0
6603,0
262,1
14750,-1
13031,0
5299,1
3483,0
5870,1
3329,1
8953,-1
15627,-1
15545,0
4323,1
5045,-1
2470,-1
2481,-1
2569,1
11573,-1
5525,0
14211,0
632,0
13839,-1
12502,-1
479,1
4682,1
4941,0
10526,-1
1819,1
16627,0
2887,0
7396,0
48,1
4416,1
3819,0
10571,0
4966,0
4339,-1
6334,0
15147,1
14677,1
206,0
7966,1
16546,1
449,-1
14765,0
1812,1
10995,-1
8206,-1
8585,0
14754,0
1365,-1
13291,0
4103,1
17321,1
11156,0
801,0
13152,0
10724,0
11695,-1
7519,1
