,alpha
11722,0
11723,-1
11724,1
11725,1
11726,0
11727,-1
11728,1
11729,1
11730,1
11731,-1
11732,-1
11733,-1
11734,1
11735,1
11736,1
11737,1
11738,0
11739,1
11740,-1
11741,-1
11742,1
11743,-1
11744,1
11745,-1
11746,1
11747,1
11748,1
11749,-1
11750,-1
11751,-1
11752,0
11753,1
11754,1
11755,1
11756,1
11757,0
11758,0
11759,-1
11760,1
11761,-1
11762,-1
11763,-1
11764,1
11765,0
11766,-1
11767,-1
11768,-1
11769,-1
11770,1
11771,-1
11772,-1
11773,-1
11774,0
11775,-1
11776,0
11777,-1
11778,-1
11779,1
11780,-1
11781,-1
11782,1
11783,1
11784,-1
11785,-1
11786,0
11787,-1
11788,-1
11789,-1
11790,-1
11791,1
11792,-1
11793,1
11794,-1
11795,-1
11796,1
11797,1
11798,1
11799,-1
11800,-1
11801,1
11802,1
11803,-1
11804,0
11805,1
11806,1
11807,1
11808,1
11809,-1
11810,1
11811,0
11812,1
11813,-1
11814,0
11815,1
11816,-1
11817,-1
11818,1
11819,-1
11820,1
11821,1
11822,0
11823,0
11824,1
11825,1
11826,1
11827,-1
11828,1
11829,-1
11830,0
11831,-1
11832,-1
11833,-1
11834,1
11835,-1
11836,-1
11837,-1
11838,0
11839,-1
11840,1
11841,1
11842,-1
11843,0
11844,-1
11845,1
11846,-1
11847,1
11848,0
11849,1
11850,-1
11851,-1
11852,0
11853,-1
11854,-1
11855,-1
11856,-1
11857,-1
11858,-1
11859,1
11860,-1
11861,-1
11862,1
11863,-1
11864,1
11865,-1
11866,-1
11867,-1
11868,1
11869,-1
11870,1
11871,1
11872,-1
11873,1
11874,0
11875,-1
11876,-1
11877,-1
11878,0
11879,1
11880,0
11881,0
11882,-1
11883,0
11884,-1
11885,1
11886,1
11887,0
11888,1
11889,0
11890,1
11891,1
11892,-1
11893,1
11894,-1
11895,1
11896,1
11897,-1
11898,0
11899,1
11900,1
11901,1
11902,1
11903,1
11904,1
11905,1
11906,1
11907,1
11908,1
11909,1
11910,1
11911,0
11912,-1
11913,1
11914,0
11915,-1
11916,-1
11917,0
11918,1
11919,1
11920,0
11921,0
11922,-1
11923,1
11924,1
11925,1
11926,0
11927,1
11928,-1
11929,1
11930,0
11931,0
11932,0
11933,1
11934,-1
11935,1
11936,0
11937,1
11938,1
11939,0
11940,1
11941,0
11942,-1
11943,1
11944,0
11945,1
11946,0
11947,-1
11948,-1
11949,0
11950,-1
11951,0
11952,-1
11953,1
11954,0
11955,0
11956,0
11957,-1
11958,1
11959,0
11960,0
11961,1
11962,1
11963,-1
11964,0
11965,-1
11966,0
11967,1
11968,0
11969,0
11970,1
11971,-1
11972,0
11973,0
11974,-1
11975,0
11976,0
11977,1
11978,0
11979,1
11980,1
11981,1
11982,0
11983,0
11984,-1
11985,0
11986,0
11987,1
11988,1
11989,-1
11990,0
11991,0
11992,0
11993,0
11994,-1
11995,0
11996,0
11997,0
11998,1
11999,1
12000,0
12001,1
12002,0
12003,-1
12004,1
12005,1
12006,0
12007,0
12008,1
12009,0
