,alpha
11419,0
11420,0
11421,-1
11422,0
11423,1
11424,0
11425,1
11426,0
11427,-1
11428,0
11429,1
11430,0
11431,1
11432,-1
11433,-1
11434,-1
11435,0
11436,0
11437,-1
11438,1
11439,1
11440,-1
11441,0
11442,1
11443,-1
11444,-1
11445,0
11446,1
11447,0
11448,-1
11449,-1
11450,0
11451,1
11452,1
11453,0
11454,1
11455,-1
11456,1
11457,-1
11458,0
11459,0
11460,1
11461,-1
11462,-1
11463,0
11464,0
11465,0
11466,0
11467,0
11468,0
11469,0
11470,1
11471,0
11472,-1
11473,1
11474,-1
11475,0
11476,-1
11477,1
11478,1
11479,-1
11480,0
11481,1
11482,0
11483,0
11484,1
11485,-1
11486,0
11487,1
11488,-1
11489,-1
11490,0
11491,-1
11492,-1
11493,1
11494,0
11495,0
11496,1
11497,1
11498,1
11499,0
11500,-1
11501,1
11502,1
11503,1
11504,1
11505,-1
11506,0
11507,0
11508,-1
11509,0
11510,0
11511,0
11512,-1
11513,1
11514,-1
11515,0
11516,0
11517,-1
11518,0
11519,-1
11520,-1
11521,0
11522,0
11523,1
11524,0
11525,1
11526,1
11527,0
11528,-1
11529,-1
11530,-1
11531,0
11532,-1
11533,0
11534,1
11535,1
11536,0
11537,-1
11538,1
11539,0
11540,0
11541,1
11542,1
11543,-1
11544,-1
11545,0
11546,-1
11547,-1
11548,1
11549,-1
11550,0
11551,0
11552,0
11553,0
11554,-1
11555,0
11556,0
11557,0
11558,1
11559,0
11560,-1
11561,-1
11562,0
11563,-1
11564,0
11565,-1
11566,-1
11567,1
11568,1
11569,-1
11570,0
11571,-1
11572,1
11573,-1
11574,1
11575,1
11576,0
11577,-1
11578,1
11579,-1
11580,1
11581,0
11582,-1
11583,1
11584,0
11585,-1
11586,1
11587,1
11588,-1
11589,0
11590,0
11591,1
11592,-1
11593,0
11594,0
11595,0
11596,-1
11597,0
11598,0
11599,-1
11600,-1
11601,0
11602,0
11603,0
11604,-1
11605,-1
11606,-1
11607,1
11608,1
11609,-1
11610,1
11611,1
11612,1
11613,0
11614,0
11615,1
11616,0
11617,0
11618,0
11619,0
11620,0
11621,0
11622,0
11623,0
11624,0
11625,0
11626,1
11627,-1
11628,1
11629,0
11630,0
11631,1
11632,1
11633,0
11634,1
11635,-1
11636,-1
11637,0
11638,-1
11639,1
11640,-1
11641,0
11642,-1
11643,0
11644,-1
11645,0
11646,0
11647,-1
11648,0
11649,0
11650,0
11651,0
11652,0
11653,-1
11654,0
11655,-1
11656,0
11657,0
11658,0
11659,0
11660,0
11661,1
11662,0
11663,1
11664,0
11665,0
11666,-1
11667,0
11668,-1
11669,-1
11670,1
11671,1
11672,0
11673,-1
11674,1
11675,1
11676,0
11677,0
11678,1
11679,0
11680,-1
11681,-1
11682,1
11683,1
11684,-1
11685,0
11686,0
11687,-1
11688,-1
11689,-1
11690,-1
11691,1
11692,0
11693,-1
11694,-1
11695,-1
11696,-1
11697,-1
11698,0
11699,-1
11700,-1
11701,1
11702,-1
11703,0
11704,0
11705,-1
11706,-1
11707,1
11708,0
11709,0
11710,-1
11711,-1
11712,0
11713,0
11714,-1
11715,0
11716,-1
11717,0
11718,0
11719,1
11720,0
11721,0
11722,0
11723,0
11724,0
11725,0
11726,1
11727,0
11728,-1
11729,0
11730,0
11731,1
11732,1
11733,0
11734,0
11735,-1
11736,-1
11737,-1
11738,-1
11739,0
11740,0
11741,1
11742,-1
11743,1
11744,-1
11745,0
11746,0
11747,0
11748,-1
11749,-1
11750,0
11751,-1
11752,1
11753,0
11754,1
11755,-1
11756,0
11757,1
11758,0
11759,-1
11760,0
11761,0
11762,-1
11763,1
11764,0
11765,0
11766,-1
11767,1
11768,-1
11769,0
11770,0
11771,-1
11772,1
11773,0
11774,0
11775,-1
11776,-1
11777,1
11778,0
11779,1
11780,-1
11781,1
11782,-1
11783,-1
11784,0
11785,0
11786,-1
11787,-1
11788,0
11789,-1
11790,0
11791,0
11792,0
11793,0
11794,0
11795,-1
11796,-1
11797,-1
11798,0
11799,1
11800,1
11801,1
11802,-1
11803,0
11804,-1
11805,0
11806,0
11807,-1
11808,1
11809,1
11810,-1
11811,-1
11812,-1
11813,0
11814,0
11815,-1
11816,-1
11817,-1
11818,-1
11819,-1
11820,-1
11821,1
11822,0
11823,0
11824,1
11825,0
11826,-1
11827,-1
11828,1
11829,-1
11830,1
11831,1
11832,-1
11833,1
11834,0
11835,-1
11836,0
11837,0
11838,1
11839,-1
11840,0
11841,0
11842,1
11843,0
11844,-1
11845,-1
11846,-1
11847,1
11848,1
11849,0
11850,0
11851,0
11852,0
11853,0
11854,1
11855,0
11856,1
11857,0
11858,0
11859,0
11860,-1
11861,1
11862,-1
11863,-1
11864,-1
11865,0
11866,1
11867,-1
11868,1
11869,1
11870,-1
11871,1
11872,-1
11873,-1
11874,-1
11875,0
11876,1
11877,0
11878,0
11879,1
11880,0
11881,0
11882,0
11883,1
11884,1
11885,-1
11886,-1
11887,1
11888,-1
11889,-1
11890,-1
11891,0
11892,-1
11893,0
11894,-1
11895,-1
11896,-1
11897,0
11898,-1
11899,0
11900,-1
11901,0
11902,0
11903,-1
11904,-1
11905,0
11906,0
11907,-1
11908,0
11909,0
11910,0
11911,0
11912,0
11913,0
11914,0
11915,0
11916,0
11917,-1
11918,-1
11919,-1
11920,-1
11921,0
11922,0
11923,0
11924,0
11925,0
11926,0
11927,-1
11928,-1
11929,1
11930,-1
11931,1
11932,0
11933,-1
11934,0
11935,0
11936,0
11937,0
11938,-1
11939,1
11940,-1
11941,0
11942,0
11943,-1
11944,-1
11945,-1
11946,-1
11947,0
11948,-1
11949,0
11950,0
11951,0
11952,0
11953,1
11954,0
11955,0
11956,0
11957,0
11958,0
11959,0
11960,0
11961,-1
11962,0
11963,0
11964,-1
11965,0
11966,0
11967,0
11968,0
11969,-1
11970,1
11971,0
11972,0
11973,1
11974,0
11975,-1
11976,-1
11977,0
11978,0
11979,-1
11980,0
11981,0
11982,0
11983,1
11984,0
11985,0
11986,-1
11987,0
11988,-1
11989,1
11990,0
11991,1
11992,-1
11993,-1
11994,-1
11995,0
